1 | activity clothing sales |   funded 575 |  country BO |   journal_entries 0 | 
1 | activity restaurant |   funded 575 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 4300 |  country BO |   journal_entries 0 | 
1 | activity secretarial services |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 1000 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 3875 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 3650 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 2100 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 1700 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 2050 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 4575 |  country BO |   journal_entries 2 | 
1 | activity fishing |   funded 425 |  country BO |   journal_entries 1 | 
1 | activity auto repair |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 2700 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 4275 |  country BO |   journal_entries 3 | 
1 | activity tailoring |   funded 975 |  country BO |   journal_entries 2 | 
1 | activity bakery |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity hardware |   funded 575 |  country BO |   journal_entries 2 | 
1 | activity used clothing |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity musical performance |   funded 975 |  country BO |   journal_entries 2 | 
1 | activity general store |   funded 500 |  country BO |   journal_entries 1 | 
1 | activity home products sales |   funded 775 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 425 |  country BO |   journal_entries 2 | 
1 | activity general store |   funded 575 |  country BO |   journal_entries 2 | 
1 | activity butcher shop |   funded 1175 |  country BO |   journal_entries 1 | 
1 | activity cereals |   funded 650 |  country BO |   journal_entries 2 | 
1 | activity spare parts |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity spare parts |   funded 650 |  country BO |   journal_entries 2 | 
1 | activity traveling sales |   funded 4000 |  country BO |   journal_entries 0 | 
1 | activity clothing sales |   funded 4275 |  country BO |   journal_entries 0 | 
1 | activity clothing sales |   funded 5000 |  country BO |   journal_entries 1 | 
1 | activity traveling sales |   funded 3750 |  country BO |   journal_entries 0 | 
1 | activity general store |   funded 700 |  country BO |   journal_entries 1 | 
1 | activity general store |   funded 575 |  country BO |   journal_entries 2 | 
1 | activity paper sales |   funded 475 |  country BO |   journal_entries 2 | 
1 | activity used clothing |   funded 3625 |  country BO |   journal_entries 0 | 
1 | activity clothing sales |   funded 4825 |  country BO |   journal_entries 0 | 
1 | activity clothing sales |   funded 2725 |  country BO |   journal_entries 1 | 
1 | activity food market |   funded 2575 |  country BO |   journal_entries 1 | 
1 | activity food production/sales |   funded 1875 |  country BO |   journal_entries 0 | 
1 | activity grocery store |   funded 4975 |  country BO |   journal_entries 0 | 
1 | activity food market |   funded 5000 |  country BO |   journal_entries 1 | 
1 | activity clothing sales |   funded 3050 |  country BO |   journal_entries 1 | 
1 | activity clothing sales |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity food production/sales |   funded 100 |  country BO |   journal_entries 2 | 
1 | activity textiles |   funded 150 |  country BO |   journal_entries 2 | 
1 | activity textiles |   funded 150 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity cosmetics sales |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity catering |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity general store |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity sewing |   funded 100 |  country BO |   journal_entries 2 | 
1 | activity electronics sales |   funded 100 |  country BO |   journal_entries 2 | 
1 | activity food market |   funded 100 |  country BO |   journal_entries 2 | 
1 | activity primary/secondary school costs |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity taxi |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity blacksmith |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity tailoring |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity goods distribution |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity computers |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity perfumes |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity dairy |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity dairy |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity used clothing |   funded 550 |  country BO |   journal_entries 2 | 
1 | activity dairy |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity general store |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity crafts |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity construction |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity utilities |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity dental |   funded 350 |  country BO |   journal_entries 2 | 
1 | activity clothing |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity furniture making |   funded 425 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 1150 |  country BO |   journal_entries 1 | 
1 | activity transportation |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity sewing |   funded 500 |  country BO |   journal_entries 1 | 
1 | activity retail |   funded 1000 |  country BO |   journal_entries 0 | 
1 | activity transportation |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity construction |   funded 1100 |  country BO |   journal_entries 2 | 
1 | activity bakery |   funded 900 |  country BO |   journal_entries 3 | 
1 | activity general store |   funded 650 |  country BO |   journal_entries 1 | 
1 | activity general store |   funded 650 |  country BO |   journal_entries 1 | 
1 | activity food |   funded 1000 |  country BO |   journal_entries 1 | 
1 | activity food production/sales |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity livestock |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity dairy |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 400 |  country BO |   journal_entries 3 | 
1 | activity services |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity embroidery |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity laundry |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity traveling sales |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity perfumes |   funded 100 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 2675 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 2975 |  country BO |   journal_entries 1 | 
1 | activity auto repair |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity beauty salon |   funded 1000 |  country BO |   journal_entries 1 | 
1 | activity electronics repair |   funded 525 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 2775 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 3825 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 2600 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 4375 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 3675 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 4950 |  country BO |   journal_entries 2 | 
1 | activity fruits & vegetables |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 300 |  country BO |   journal_entries 2 | 
